DEPARTAMENTO,RUTA,CÓDIGO DE TRAMO,TRAMO,PR Inicial,PR Final,SECTOR,RED PAVIMENTADA MUY BUENO (KMS),RED PAVIMENTADA BUENO (KMS),RED PAVIMENTADA REGULAR (KMS),RED PAVIMENTADA MALO (KMS),RED PAVIMENTADA MUY MALO (KMS),RED NO PAVIMENTADA MUY BUENO (KMS),RED NO PAVIMENTADA BUENO (KMS),RED NO PAVIMENTADA REGULAR (KMS),RED NO PAVIMENTADA MALO (KMS),RED NO PAVIMENTADA MUY MALO (KMS),TOTAL PAVIMENTO,TOTAL NO PAVIMENTADO,RED EN INTERVENCIÓN,LONGITUD TOTAL CALIFICADA,LONGITUD TOTAL INVENTARIO,CALZADA UNICA,CALZADA IZQUIERDA,CALZADA DERECHA,"DISTANCIA
EFECTIVA"
ANTIOQUIA,25,2509,La Pintada - Medellín,64+0000,72+0084,Primavera - Medellín (*),13.69,2.24,0,0,0,0,0,0,0,0,15.93,0,,15.93,8.04,0,8.02,7.91,7.91
ANTIOQUIA,25,2510,Medellín - Los Llanos,52+0474,87+1295,Hoyo Rico - Los Llanos,0,2.97,27.72,4.96,0,0,0,0,0,0,35.66,0,,35.66,35.657,35.65,0,0,35.65
ANTIOQUIA,25,2511,Los Llanos - Tarazá,0+0000,124+0705,Los Llanos - Tarazá,0,13.75,91.66,18.99,0,0,0,0,0,0,124.4,0,,124.4,124.4,124.4,0,0,124.4
ANTIOQUIA,25,2512,Tarazá - Caucasia,0+0000,63+0966,Tarazá - Caucasia,0,55.54,5.69,1.98,0,0,0,0,0,0,63.2,0,,63.2,63.202,63.2,0,0,63.2
ANTIOQUIA,56,5601,Medellín - Don Diego - La Unión - Sonsón,49+0000,103+0000,La Unión - Sonsón (*),0,4.17,30.13,20.62,0,0,0,0,0,0,54.92,0,,54.92,55.174,52.45,1.23,1.23,53.68
ANTIOQUIA,60,6003,La Mansa - Te de Amagá - Primavera,0+0000,44+0200,La Mansa - Bolombolo,1.41,11.43,20.57,7.88,0,0,0,2.488,0,0,41.28,2.49,,43.77,44.3,47.69,0,0,47.69
ANTIOQUIA,60,6003,La Mansa - Te de Amagá - Primavera,88+0100,95+0031,Camilo C sectores no entregados en concesion,0,1.7,1.93,0.15,0,0,0,0,0,0,3.78,0,,3.78,3.78,11.06,3.07,3.01,14.07
ANTIOQUIA,60,6005,Santuario - Cruce Ruta 45 (Caño Alegre),3+0000,135+0600,Peaje Cocorna - Cruce Ruta 45 (Caño Alegre),0,5,0,128,0,0,0,0,0,0,133,0,,133,132.6,133,0,0,133
ANTIOQUIA,62,6204,Santa Fe de Antioquia - Medellín,16+0000,71+0000,Santa Fe de Antioquia - Medellín,0,1,18.56,34.83,1,0,0,0,0,0,55.4,0,,55.4,55.39,55.4,0,0,55.4
ANTIOQUIA,62,6205,Cruce Ruta 25 (Hatillo) - Cisneros,9+0000,9+0700,Paso Nacional por Barbosa,0,0,0.7,0,0,0,0,0,0,0,0.7,0,,0.7,0.7,0.7,0,0,0.7
ANTIOQUIA,62,6205,Cruce Ruta 25 (Hatillo) - Cisneros,53+0000,54+1158,Paso Nacional por Cisneros,0,0,0.19,2.12,0,0,0,0,0,0,2.31,0,,2.31,2.33,2.31,0,0,2.31
ANTIOQUIA,62,6206,Cisneros - Puerto Olaya - Cruce Ruta 45,0+0000,1+0000,Paso Nacional por Cisneros,0,0,1,0,0,0,0,0,0,0,1,0,,1,1.023,1,0,0,1
ANTIOQUIA,62,6206,Cisneros - Puerto Olaya - Cruce Ruta 45,95+0198,97+1261,Paso Nacional por Puerto Berrio (Incluye el Puente sobre el Río Magdalena),0,0,0.8,2.62,0,0,0,0,0,0,3.42,0,,3.42,3.48,3.42,0.36,0,3.42
ANTIOQUIA,90,9002,Necoclí - Puerto Rey,0+0000,82+0049,Necoclí - Arboletes,27.17,20.36,23.43,4.97,0,0,0.25,5.25,0,0,75.93,5.5,,81.43,80.049,81.43,0,0,81.43
ANTIOQUIA,90,90ANA,Varinte de Arboletes,0+0000,3+0884,Variante de Arboletes,1,3.29,0,0,0,0,0,0,0,0,4.29,0,,4.29,3.88,4.29,1,0,4.29
ANTIOQUIA,90,90ANB,Varinte de Mellitos,0+0000,7+0790,Variante de Mellitos,8.1,0.79,0,0,0,0,0,0,0,0,8.89,0,,8.89,7.79,8.1,0,0,8.1
ATLÁNTICO,27,2702,Salamina - Palermo,0+0000,63+1505,Salamina - Palermo,18.75,0,0,0,0,0,3.47,8.3,28.08,2.9,18.75,42.75,,61.5,61.21,64.11,0,0,64.105
ATLÁNTICO,90,9006,Cartagena - Sabanalarga - Barranquilla,117+0103,117+0664,"Accesos, Orejas y Puente de la Cordialidad",0,0.56,2.49,0,0,0,0,0,0,0,3.05,0,,3.05,3.051,3.05,0,0,3.051
ATLÁNTICO,90,9007,Barranquilla - Santa Marta,0+0000,1+1794,Accesos y Puente Laureano Gómez,0,1.51,0,0,0,0,0,0,0,0,1.51,0,,1.51,2.42,2.43,0,0,2.429
ATLÁNTICO,90A,90A01,Cartagena - Lomita Arena - Barranquilla,109+0148,109+0670,"Accesos, Orejas y Puente Olaya Herrera",0,2.74,0,0,0,0,0,0,0,0,2.74,0,,2.74,2.74,2.96,0,0,2.964
BOLÍVAR,78,7802,Puerta de Hierro - Magangué - Yatí - La Bodega,0+0000,68+0350,Puerta de Hierro - Magangué - Yatí (*),11.8,16.35,36.24,15.78,0,0,0,0,0,0,80.16,0,,80.16,68.36,66.04,1.17,1.17,67.206
BOLÍVAR,78,78BL02,Talaiga Nuevo - Santa Ana,0+0000,4+0450,Talaiga Nuevo - Santa Ana,3.15,1.03,0,0,0,0,0,0,0,0,4.18,0,,4.18,4.18,4.18,0,0,4.18
BOLÍVAR,78,7803,La Bodega - Mompox,0+0000,38+0000,La Bodega - Mompox,1.02,35.41,2.04,0,0,0,0,0,0,0,38.48,0,,38.48,38,38.47,0,0,38.47
BOLÍVAR,78,7804,Mompox - Guamal,0+0000,33+0900,Mompox - Guamal,0,22.15,10.12,0,0,0,2.55,0,0,0,32.28,2.55,,34.83,33.63,34.83,0,0,34.83
BOYACÁ,45,45BY01,Ramal a Puerto Boyacá,0+0000,2+0000,Ramal a Puerto Boyacá (*),0,0,2.34,0.97,0,0,0,0,0,0,3.31,0,,3.31,2,0.69,1.31,1.31,2
BOYACÁ,45A,45ABYB,Variante de Chiquinquira,0+0000,6+0900,Variante de Chiquinquira,1.92,3.93,1.01,0,0,0,0,0,0,0,6.86,0,,6.86,6.86,6.86,0,0,6.855
BOYACÁ,45A,45ACNC,Variante de Ubate,0+0000,3+0100,Variante de Ubate (*),0,3.03,3.12,0.15,0,0,0,0,0,0,6.3,0,,6.3,3.15,0,3.15,3.15,3.15
BOYACÁ,45A,45A05,Ubaté - Puente Nacional,0+0000,89+0340,Ubaté - Puente Nacional (*),12.02,34.69,42.46,6.1,0,0,0,0,0,0,95.28,0,,95.28,90.47,95.28,4.71,4.71,99.988
BOYACÁ,55,5503,Duitama - La Palmera,0+0000,134+0174,Duitama - La Palmera (*),1.99,29.48,78.65,29.75,0,0,0.21,0.21,0.78,0,139.88,1.19,,141.07,135.47,129.83,5.6,5.64,135.47
BOYACÁ,55,55BY11,Santa Rosita - Onzaga,0+0000,6+0953,Santa Rosita - Límites Departamento de Boyacá,0,0,0,0,0,0,0,5.95,0.99,0,0,6.93,,6.93,6.94,6.93,0,0,6.933
BOYACÁ,60,6006,Cruce Ruta 45 (Dos y Medio) - Otanche,0+0000,95+0080,Cruce Ruta 45 (Dos y Medio) - Otanche,17.43,3.94,4.13,7.1,2,0,0,19.89,40.07,0,34.61,59.95,,94.56,94.56,94.56,0,0,94.56
BOYACÁ,60,6007,Otanche - Chiquinquirá,0+0000,32+0000,Otanche - Río Minero,0.26,19.5,3.9,8.13,0,0,0,0,0,0.09,31.8,0.09,,31.89,31.89,31.89,0,0,31.886
BOYACÁ,60,6007,Otanche - Chiquinquirá,32+0000,90+0150,Río Minero - Chiquinquirá,0,10.71,26.7,17.47,0,0,0,1.94,0.45,0,54.89,2.4,,57.29,57.29,57.29,0,0,57.287
BOYACÁ,60,6008,Chiquinquirá - Tunja,0+0000,37+0000,Chiquinquirá - Sáchica,0,12.5,19.1,5.92,0,0,0,0,0,0,37.52,0,,37.52,37.52,37.52,0,0,37.52
